English,ASL Gloss
LAWYER,LAW AGENT
MANAGER,MANAGE AGENT
Do you sign?,SIGN YOU Q
Are you deaf?,DEAF YOU Q
How are you?,WHATS UP
Do you sign?,SIGN YOU Q
Yes are you deaf?,YES DEAF YOU Q
No my sister is deaf,NO MY SISTER DEAF
Oh I see; you sign well,OH ME SEE SIGN SKILL YOU
Hi Im XXXXX,HI XXXXX ME
Nice to meet you Im XXXXX,NICE MEET YOU XXXXX ME
Nice to meet you too,NICE MEET TOO
Everything is so expensive!,EVERYTHING EXPENSIVE
Yes and no sales,TRUE DISCOUNTS NONE
Its sad; even stamps are going up,SAD STAMP COST INCREASE TOO
It really makes me angry,ANGRY ME
Me too,ME TOO
XXXXX and I are taking a trip,XXXXX ME TRAVEL WILL
Wow! Sounds like a fun time,WOW SEEMS FUN
Were going to Texas California and Colorado,US TRAVEL WHERE TEXAS CALIFORNIA COLORADO
Will you see Chip?,YOU SEE XXXXX Q
The trees are beautiful in Japan,JAPAN TREES BEAUTIFUL
The mountains are so high,MOUNTAINS HIGH
There are so many rivers,RIVERS MANY
Two books,BOOK TWO
Four cars,CAR FOUR
Can you come over to my house at 7 PM?,7 PM MY HOUSE COME CAN YOU Q
Yes I can,YES CAN ME
Can you give me directions?,DIRECTIONS GIVE ME CAN Q
Right on West Drive; the third house on the right,HOUSE THIRD RIGHT STREET WEST D-R
Do you own your home or rent?,YOUR HOME OWN RENT WHICH Q
The door is locked,DOOR LOCKED
The garage has a window,GARAGE WINDOW HAVE
His house is big,HIS HOUSE BIG
Can I go upstairs?,UPSTAIRS GO ME CAN Q
Can I use the bathroom?,BATHROOM USE ME CAN Q
Is this your bedroom?,BEDROOM YOURS Q
The kitchen is hot,KITCHEN HOT
Dont play in the living room,LIVING ROOM PLAY THERE DONT
Sit on the couch,COUCH SIT
Turn on the lamp,LAMP O-N
My carpet is white,MY CARPET WHITE
The house has a big yard,HOUSE YARD BIG
I want to see the kitchen,KITCHEN WANT SEE ME
We need a couch lamp and pictures,COUCH LAMP PICTURES NEED US
Its great to own not rent a house,HOUSE OWN GREAT RENT NOT
Who is going?,GOING WHO Q
What do you mean?,MEAN WHAT Q
Are you working today?,TODAY WORKING YOU Q
Yes for two hours,YES TWO HOURS SHORT
Im going to the movies,MOVIES GO ME
May I join you?,YOU ME Q
Of course,OF COURSE
Is she your sister?,HER SISTER YOURS Q
No my sister-in-law,NO SISTER LAW MINE
Drive,D-R
Street,S-T
Way,W-Y
Where are you moving?,MOVING YOU WHERE Q
Chicago Will you write?,CHICAGO LETTER WRITE ME YOU Q
Yes whats your address?,YES ADDRESS YOURS WHAT Q
Thanks Phone me when you arrive,THANKS ARRIVE YOU PHONE ME
vice presidents ,V-P
Im XXXXX Nice to meet you,XXXXX ME NICE MEET YOU
Yes Im vice president of marketing,YES MARKETING V-P ME
What an interesting job,JOB INTERESTING TRUE
I sure meet a lot of different people,DIFFERENT PEOPLE MEET ME
He is rich,RICH HIM
He has money,MONEY HIS
She is wise,WISE HER
She has wisdom,WISDOM HERS
They have gold,GOLD HAVE THEM
The gold is theirs,GOLD THEIRS
My house is west of the store,STORE MY HOUSE WEST
Turn right twice,RIGHT RIGHT
Go straight; dont turn,STRAIGHT TURN DONT
Do you know where the museum is?,MUSEUM WHERE KNOW YOU Q
From this cross street I go north,HERE CROSS STREET NORTH GO ME
At the stop sign go right,STOP SIGN ARRIVE RIGHT
Go across the bridge,BRIDGE GO OVER
The gas station is near the highway,HIGHWAY GAS STATION NEAR
If I miss the train Ill fly,TRAIN MISS FLY ME WILL
You need a motorcycle helmet,MOTORCYCLE HELMET NEED YOU
Go to the party but be home at midnight,PARTY GO BUT HOME MIDNIGHT MUST YOU
Do you want apples or oranges?,APPLES ORANGES WANT YOU WHICH
Either apples or oranges would be fine,EITHER FINE
Do you want chicken or steak?,CHICKEN STEAK WANT YOU WHICH
I want neither chicken nor steak,NEITHER
I need another place setting please,PLEASE FORK KNIFE SPOON NEED ME
The plate and glass are broken,PLATE GLASS BROKEN
I need three bowls,THREE BOWLS NEED ME
The napkin is dirty,NAPKIN DIRTY
Im hungry and its time for lunch,NOW TIME NOON FOOD HUNGRY ME
I want a cheeseburger and fries,CHEESEBURGER FRIES WANT ME
The soda is cold,SODA COLD
I want a sandwich and salad for lunch,NOON FOOD SANDWICH SALAD WANT ME
Im hungry; I want a hamburger French fries and a soda,HUNGRY ME HAMBURGER FRENCH FRIES SODA WANT ME
I want a fish sandwich and water,FISH SANDWICH WATER WANT ME
They have chicken,CHICKEN HAVE THEM
Chicken and spaghetti are on special,SPECIAL WHAT CHICKEN SPAGHETTI
Id like a potato with my fish,MY FISH POTATO TOGETHER WANT ME
Im full,FULL ME
The water is warm,WATER WARM
I need a glass for my beer,BEER GLASS NEED ME
The coffee is strong,COFFEE STRONGDenni:
What would you like to drink?,DRINK WANT WHAT Q
A cold beer,COLD BEER
A glass of red wine,GLASS RED WINE
I went to the butchers,FINISH MEAT STORE GO ME
The bakery smells good,BREAD STORE SMELLS DELICIOUS
The meat is on sale today,TODAY MEAT SALE
You can buy two steaks for the price of one,TWO STEAKS PAY ONLY ONE
I saved money,FINISH MONEY SAVE ME
You spent too much,FINISH SPEND
Wear your coat,YOUR COAT WEAR
The scarf is white,SCARF WHITE
Are these your gloves?,GLOVES YOURS Q
Your dress is pretty,YOUR DRESS PRETTY
Her belt is leather,HER BELT LEATHER
If you wear pants dont wear high heels,IF PANTS WEAR HIGH HEELS WEAR NOT
Where is my sweater?,MY SWEATER WHERE Q
Wheres my umbrella?,MY UMBRELLA WHERE Q
I want that skirt,SKIRT THAT WANT ME
Where is my wallet?,MY WALLET WHERE Q
If you wear a blouse Ill wear a tie,IF BLOUSE YOU WEAR TIE ME WEAR
Her purse is nice,HER PURSE NICESummer suits
Where did you buy those sunglasses?,SUNGLASSES BUY YOU WHERE Q
These shorts are old,SHORTS OLD
When will the Tshirt shop open?,TSHIRT SHOP OPEN WHEN Q
Her dress is blue and white,HER DRESS BLUE WHITE
His tie is green,HIS TIE GREEN
He wore a yellow cotton shirt,FINISH HE WEAR SHIRT YELLOW COTTON
Her purse was black leather,FINISH HER PURSE BLACK LEATHER
That blue dress is pretty,BLUE DRESS PRETTY
Those brown shoes are big,BROWN SHOES BIG
Do you like the black slacks?,BLACK SLACKS YOU LIKE Q
I like the leather pants,LEATHER PANTS LIKE ME
Ill pay with my credit card,CREDIT PAY WILL ME
She wrote a $50 check,FINISH CHECK 5-0 DOLLARS WRITE HER
Im buying new clothes,NEW CLOTHES BUY ME
I dont have a lot of money,A LOT MONEY HAVE ME NOT
Buy a couple of blouses on sale,TWO BLOUSES SALE BUY
If I buy blouses Ill need pants,IF BLOUSES BUY PANTS NEED ME
Use your credit card,CREDIT YOURS USE
The red shirt is better than the green one,RED SHIRT GREEN SHIRT RED BETTER
His coat is the warmest,HIS COAT WARM TOP
Your shoes are the ugliest,YOUR SHOES UGLY WORST
The movie sold out,MOVIE SOLD OUT
If the movie is open-captioned Ill go,IF MOVIE O-C ME GO
The matinee was a comedy,AFTERNOON MOVIE FUNNY
We went to see the new mystery,FINISH NEW MYSTERY SEE US
Theres captioning Saturday at the movie,SATURDAY MOVIE O-C
When the lights go out stop talking,LIGHTS OUT TALKING STOP
During intermission Im leaving,DURING INTERMISSION LEAVE ME
The museum is open,MUSEUM OPEN
We saw the photography exhibit,FINISH PHOTOGRAPHY EXHIBIT SEE
Want to go to a movie?,MOVIE GO WANT Q
Yes I can go next Saturday maybe a comedy,YES NEXT WEEK SATURDAY GO FUNNY MOVIE MAYBE
Ill write it down on my schedule,SCHEDULE WRITE DOWN ME WILL
Ill write it down too,WRITE DOWN TOO ME WILL
When is payday?,PAYDAY WHEN Q
She was terminated by Human Resources,H-R TERMINATE HER
The boss has my time sheet,TIME SHEET MINE BOSS HAVE
Is that the manager?,MANAGER HIM Q
No he is the assistant manager,NO ASSISTANT MANAGER HIM
Where is the boss?,BOSS WHERE Q
In a meeting,MEETING
Who is my supervisor?,MY SUPERVISOR WHO Q
XXXXX is a good boss,XXXXX GOOD BOSS TRUE
The copy machine is broken,COPY MACHINE BROKE
My computer is frozen,MY COMPUTER FROZE
Where is the stapler?,STAPLER WHERE Q
Do we have enough paper?,PAPER ENOUGH HAVE Q
Are you going to the conference?,CONFERENCE GO YOU Q
The managers meeting is upstairs,MANAGERS MEETING UPSTAIRS
If you trade stocks I will too,IF TRADE YOU ME SAME
Where do you work?,WORK YOU WHERE Q
The business is closed,BUSINESS CLOSED
The soccer game was good,SOCCER GAME GOOD
He can box and wrestle,BOX WRESTLE BOTH CAN HIM
If you play soccer you cant play basketball,IF SOCCER PLAY YOU BASKETBALL PLAY YOU CANT
Our team won the race,OUR TEAM RACE WON
Hes a football player,FOOTBALL PLAY HIM
Whats the score?,SCORE WHAT Q
Did we win or lose?,WIN LOSE US WHICH Q
Do you like cycling?,CYCLING YOU LIKE Q
Lets go hiking,HIKING US GO
Were going on a picnic Are you coming?,PICNIC GO US COME YOU Q
Deal the cards,DEAL CARDS
He likes playing XXXXX,XXXXX HE LIKES
Do you gamble?,GAMBLE YOU Q
I collect stamps,STAMPS COLLECT ME
Knitting is relaxing,KNITTING RELAXING
I like sewing,SEWING LIKE MESeeing the Night sky
Did you see the shooting star?,FINISH SHOOTING STAR SEE Q
The eclipse was red,ECLIPSE RED TRUE
It is cloudy today,TODAY CLOUDY
Its sunny outside,OUTSIDE SUNNY
Its dark and windy this evening,NOW NIGHT DARK WINDY
There is thunder and lightning outside,OUTSIDE THUNDER LIGHTNING
I want to golf tomorrow,TOMORROW GOLF PLAY WANT ME
Ill go swimming tomorrow,TOMORROW SWIM ME
If it rains are you going swimming?,IF RAIN YOU SWIMMING Q
No Ill stay home and read,NO HOME STAY READ
If it rains lets play cards,IF RAIN CARDS US
Do you need a nurse?,NURSE NEED Q
The doctor is in,DOCTOR HERE
You need to see a chiropractor,CHIROPRACTOR NEED YOU
He needs an injection,INJECTION NEED HIM
How do I get blood drawn?,ME BLOOD DRAWN HOW Q
She has an infection,INFECTION HAS HER
Sit in the wheelchair,WHEELCHAIR SIT
You have a sprain,SPRAIN HAVE You
You need to get to the hospital,HOSPITAL GO MUST YOU
Im dizzy and my stomach hurts,DIZZY ME STOMACH HURTS
Well go to the ER,E-R GO US WILL
Where do you work?,YOU WORK WHERE
Do you like your work?,YOU LIKE YOUR WORK
What is your name?,YOUR NAME WHAT
What class do you have next?,YOUR NEXT CLASS WHAT
What is your last class today?,TODAY YOUR LAST CLASS WHAT
What city do you live in?,CITY YOU LIVE
My sister is having another baby,ANOTHER BABY MY SISTER BORN-WILL
I love to cook hamburgers on the XXXXX,XXXXX HAMBURGER COOK ME LOVE
I like to ice skate on our XXXXX,OUR XXXXX ICE SKATE ME LIKE
I like to be active and not sit and watch TV all day,ALL DAY ME LIKE ACTIVE NOT SIT WATCH TV
Are you prepared for hurricane XXXXX,HURRICANE XXXXX YOU READY PREPARE
The dinner party was awkward because most of us did not know each other,DINNER PARTY AWKWARD WHY MOST US NOT KNOW EACH OTHER
My favorite author is me,MY FAVORITE AUTHOR WHO ME
I love anything that has chocolate in it,ME LOVE ANYTHING HAVE CHOCOLATE INSIDE
Do you like to watch baseball,BASEBALL WATCH YOU LIKE
My daughter gave me beautiful flowers,BEAUTIFUL FLOWERS MY DAUGHTER GIVE-ME
Can you hear all the birds singing,ALL BIRDS SINGING HEAR CAN YOU
I watched a boring movie last night and fell asleep,LAST NIGHT BORING MOVIE ME WATCH FALL-ASLEEP ME
I like to eat cheese on my XXXXX,MY XXXXX CHEESE POUR ME LIKE
I need to drink coffee to wake me up every morning,EVERY MORNING ME WAKE UP HOW COFFEE NEED DRINK ME
I encourage my students to attend college,COLLEGE GO-TO MY STUDENTS ME ENCOURAGE
I enjoy playing with my cousins at my grandmother's house,GRANDMOTHER'S HOUSE COUSINS PLAY-AROUND ME ENJOY
My sister is Deaf and goes to Gallaudet University,GALLAUDET UNIVERSITY MY DEAF SISTER GO-TO
I eat ice cream for dessert every night,EVERY NIGHT DESSERT ICE CREAM ME EAT
I'm looking for a new doctor,NEW DOCTOR LOOK-FOR ME
I need a drink of water,WATER DRINK ME NEED
Luckily my family is very supportive,LUCKY ME WHY MY FAMILY SUPPORT ME
My grandfather is a dairy farmer,MY GRANDFATHER WORK WHAT DAIRY FARMER
My father in law worked at a factory for twenty five years,25 YEARS FACTORY MY FATHER WORK
I like to watch college football games,COLLEGE FOOTBALL GAMES WATCH ME LIKE
My family grows watermelon in our XXXXX,OUR XXXXX WATERMELON MY FAMILY GROW
Every Tuesday my family has game night,EVERY TUESDAY MY FAMILY DO-DO GAME NIGHT
My girlfriends are coming over for dinner tonight,TONIGHT DINNER MY GIRLFRIENDS COME OVER
My daughter is always happy,MY DAUGHTER SHE ALWAYS HAPPY
I bought a new hat,NEW HAT ME BUY FINISH
I heard you were quiting your job,YOUR JOB YOU QUIT ME HEARD
I like to learn about a building's history,BUILDING HISTORY LEARN ABOUT ME LIKE
I have many good ideas for your birthday party,YOUR BIRTHDAY PARTY MANY GOOD IDEAS ME HAVE
My office just hired a new interpreter,NEW INTERPRETER MY OFFICE RECENTLY HIRE
My neighbor is lazy he never mows the lawn,MY NEIGHBOR LAZY WHY MOW LAWN NEVER
I go to the library,LIBRARY ME GO-TO
Two cats are better so they don't get lonely,TWO CATS BETTER WHY NOT BECOME LONELY
Don't forget to put your name on the paper,PAPER YOUR NAME WRITE NOT FORGET
When I was young I delivered the newspaper every morning,WHEN ME YOUNG EVERY MORNING NEWSPAPER ME DELIVER
I wanted to buy a ticket for the game but they had none left,BUY TICKET FOR GAME ME WANT BUT NONE LEFT
I'm doing nothing this weekend,NOW WEEKEND ME DO-DO NOTHING
The school nurse is always busy,SCHOOL NURSE ALWAYS BUSY
XXXXX business plan is top secret,XXXXX THEIR BUSINESS PLAN SECRET
My favorite kind of popcorn is XXXXX,MY FAVORITE KIND POPCORN WHICH XXXXX
My dog is always in trouble,TROUBLE MY DOG ALWAYS
I think it is supposed to rain all week,ALL WEEK SUPPOSED-TO RAIN ME THINK
I enjoy reading children's picture books,CHILDREN PICTURE BOOKS READ ME ENJOY
I roller skated a lot when I was young,WHEN ME YOUNG ME ROLLER SKATED A LOT
Please write in complete sentences,COMPLETE SENTENCE WRITE PLEASE
I just bought a new shirt,NEW SHIRT ME RECENTLY BUY
My grandfather is a silly man,MY GRANDFATHER SILLY MAN
I love watching XXXXX every Saturday,EVERY SATURDAY XXXXX WATCH ME LOVE
I support the work of the Red Cross,RED CROSS THEIR WORK ME SUPPORT
XXXXX is a Deaf American teacher poet advocate and author,XXXXX HERSELF DEAF AMERICAN TEACHER POET ADVOCATE AUTHOR
Thank you for the nice gift,THANK YOU NICE GIFT
My favorite time to swim is 8 in the morning,MY FAVORITE TIME SWIM WHEN 8 MORNING
We have to practice together for our dance competition,OUR DANCE COMPETITION PRACTICE TOGETHER WE SHOULD
I like to play the drums as loudly as I can,DRUMS PLAY LOUD ME LIKE
I like to take the train to Chicago,GO-TO CHICAGO HOW TRAIN PREFER ME
I visited Gallaudet University two years ago,2 YEARS AGO GALLAUDET UNIVERSITY ME VISIT
I have to work today,TIME 1 PM ME DO-DO GO WORK
You need to take a bath,BATH NEED YOU
I got good books from the library,ME GO LIBRARY GET WHAT GOOD BOOKS
I need to buy new comfortable shoes before I go to Disney World,NEW COMFORTABLE SHOES NEED BUY ME WHY DISNEY WORLD GO-TO WILL I
My aunt makes the best cakes,BEST CAKES MAKE WHO MY AUNT
M&M's are my favorite kind of candy,MY FAVORITE CANDY WHAT M-M
I need to buy a new car soon,SOON NEW CAR BUY ME NEED
Do you like chocolate ice cream,CHOCOLATE ICE CREAM YOU LIKE
I want to cook a dinner for you,COOK DINNER FOR YOU ME WANT
I love to make and eat chocolate XXXXX cookies,CHOCOLATE XXXXX COOKIES BAKE EAT ME ENJOY
I have a dentist appointment tomorrow,TOMORROW DENTIST APPOINTMENT ME HAVE
Your room is dirty please clean it,YOUR ROOM DIRTY CLEAN PLEASE
Please give the book to the librarian,LIBRARIAN BOOK GIVE-TO PLEASE
I like to drink a big glass of milk after exercising,FINISH EXERCISE MILK BIG GLASS DRINK ME LIKE
I am taking a XXXXX class on Monday,MONDAY XXXXX CLASS ME TAKE
What are you doing tomorrow night,TOMORROW NIGHT YOU DO-DO
My grandma bakes an apple pie every year for my birthday,EVERY YEAR MY BIRTHDAY APPLE PIE MY GRANDMA BAKE
My uncle is very good at telling tales of his life on the farm,TALES MY UNCLE GOOD ABOUT WHAT GROW UP FARM
I want to eat a XXXXX salad,XXXXX SALAD EAT ME WANT
My favorite class is science,MY FAVORITE CLASS WHAT SCIENCE
If it is snowing you should drive slowly,IF SNOW DRIVE SLOW YOU SHOULD
I love the smell of the flowers in the spring,SPRING FLOWERS SMELL ME LOVE
I have a new XXXXX mother,NEW XXXXX MOTHER ME HAVE
Do you want to put sugar in your coffee,YOUR COFFEE SUGAR PUT-IN YOU WANT
Would you like a cup of tea,CUP TEA YOU WANT
I have a fake tooth,FAKE TOOTH ME HAVE
I plan to ski in the winter,WINTER SKI ME PLAN
My son is not happy I bought the wrong XXXXX,MY SON NOT HAPPY WHY WRONG XXXXX ME BUY
The XXXXX store has workers,P-E-T STORE WORKERS
I ate an egg with toast for breakfast,BREAKFAST EGG TOAST ME EAT FINISH
I collect shiny pennies,SHINY PENNIES ME COLLECT
I am looking forward to summer because I can ride my bike,SUMMER ME LOOK-FORWARD WHY RIDE-BIKE
My daughter takes dance lessons every Saturday morning,EVERY SATURDAY MORNING DANCE LESSONS MY DAUGHTER TAKE
Do you want to walk to the store to buy ice cream,STORE YOU WANT WALK BUY ICE CREAM
I can't wait for my vacation so I can relax,MY VACATION ME CAN'T WAIT WHY ME CAN RELAX
I drink 8 glasses of water everyday,EVERYDAY 8 GLASSES WATER ME DRINK
I save money at the grocery store by using XXXXX,GROCERY STORE ME SAVE MONEY HOW USE XXXXX
Our teacher requires me to be early to class,CLASS ARRIVE EARLY MY TEACHER REQUIRES
Can you order me a cheeseburger,CHEESEBURGER ORDER FOR ME CAN YOU
Your idea is absurd,YOUR IDEA ABSURD
I eat one apple a day,EVERYDAY DO-DO ME EAT ONE APPLE
I am terrible at archery,ARCHERY ME TERRIBLE
My son plans to join the armed forces after high school,FINISH H-S ARMED FORCES JOIN MY SON PLANS
The soccer team lost but they still had a good attitude,SOCCER TEAM XXXXX LOST DOESN'T MATTER STILL GOOD ATTITUDE
I like bacon and eggs for breakfast,BREAKFAST BACON EGGS EAT ME LIKE ME
I love to bake chocolate XXXXX cookies,CHOCOLATE XXXXX COOKIES BAKE ME LOVE
We had a big barbecue on the 4th of July,JULY FOURTH BIG XXXXX WE HOST
We saw a big black bear and her two XXXXX in the woods yesterday,YESTERDAY WOODS BIG BLACK BEAR HER TWO XXXXX WE SAW
My uncle always has a gray beard,GRAY BEARD MY UNCLE ALWAYS HAS
I just bought a blueberry candle,RECENTLY BLUEBERRY CANDLE ME BUY
You have to take a boat to get to XXXXX Island,XXXXX ISLAND GO-TO HOW BOAT MUST YOU
Sometimes people think the deaf use braille but that is not true only blind people use braille,SOMETIMES PEOPLE THINK DEAF PEOPLE USE BRAILLE NO ONLY BLIND PEOPLE USE BRAILLE
I eat XXXXX for breakfast everyday,EVERYDAY BREAKFAST XXXXX EAT ME
My car broke down on the bridge,BRIDGE MY CAR BROKE-DOWN
Look at all the beautiful butterflies,BEAUTIFUL BUTTERFLIES LOOK-AT
I bought a new camera before my vacation,BEFORE VACATION NEW CAMERA BOUGHT ME
I work as a camp counselor every summer,EVERY SUMMER CAMP COUNSELOR ME WORK
I have many candles in my house,MY HOUSE MANY CANDLES HAVE
Teaching my kids to help other people builds good character,MY KIDS ME TEACH HELP HELP OTHER PEOPLE WHY DEVELOPS GOOD CHARACTER
There is no gum chewing in class,CLASS CHEW-GUM NOT ALLOW
What color is your new car,YOUR NEW CAR COLOR WHAT
The kids like to eat crackers and cheese,CRACKERS CHEESE KIDS LIKE EAT
I am more productive when my desk is clean,MY DESK CLEAN ME MORE PRODUCTIVE
Detectives investigate crime,DETECTIVES DO-DO INVESTIGATE CRIME
Everyone should own a good dictionary,GOOD DICTIONARY EVERYONE SHOULD #OWN
I have a Bachelor's degree in physics,MY #BA DEGREE MAJOR WHAT PHYSICS
Yesterday I saw a bald eagle outside my window,YESTERDAY HAPPEN WHAT WINDOW ME LOOK SEE EAGLE
My family is going to grandma's house for Easter,EASTER GRANDMA'S HOUSE MY FAMILY GO-TO
The elevator got stuck on the 3rd floor,THIRD FLOOR ELEVATOR STUCK
I have no energy I need to eat,ME NEED EAT WHY ME HAVE NO ENERGY
I have no energy,ME HAVE NO ENERGY
I need to eat,ME NEED EAT
My best friend has one blue eye and one brown eye,ONE BLUE EYE ONE BROWN EYE MY BEST FRIEND HAS
XXXXX is a famous Deaf Actress She won an XXXXX for her role in the movie XXXXX,XXXXX SHE FAMOUS DEAF ACTRESS SHE WON XXXXX FOR HER ROLE MOVIE QUOTE CHILDREN XXXXX
My cat likes to chase frogs,CHASE FROGS MY CAT LIKES
My friends and I had fun at the baseball game,BASEBALL GAME MY FRIENDS ALL-OF-US HAD FUN
We put in a garden every summer,EVERY SUMMER GARDEN WE PLANT
My father plays golf every morning,EVERY MORNING MY FATHER PLAY GOLF
To be successful it helps to have good grammar,YOU WANT SUCCESS IMPORTANT HAVE GOOD GRAMMAR
My niece got a pink guitar for Christmas,CHRISTMAS MY NIECE GOT WHAT PINK GUITAR
Halloween is scary,HALLOWEEN SCARY
It is important to have a good handshake,GOOD HANDSHAKE IMPORTANT
I heard XXXXX is having heart problems,HEART PROBLEMS XXXXX HAS ME HEARD
I always eat hot dogs at baseball games,BASEBALL GAMES HOT DOGS ME ALWAYS EAT
My grandfather used to hunt for deer,LONG TIME AGO MY GRANDFATHER DEER HE HUNT
My favorite flavor of ice cream is butter XXXXX,ICE CREAM MY FAV FLAVOR WHAT BUTTER XXXXX
Today is World Kindness Day,TODAY WHAT WORLD KINDNESS DAY
My dad always kisses my mom bye,MY DAD KISS MY MOM BYE ALWAYS
I laughed and laughed during the movie because it was funny,ME LAUGH WHY MOVIE FUNNY
The teacher has a loud voice,TEACHER HIS VOICE LOUD
Can you meet me for lunch,LUNCH MEET ME CAN YOU
I need to measure the room before I buy XXXXX,BEFORE XXXXX ME BUY ROOM MEASURE ME NEED
The army captain was awarded 3 medals,ARMY CAPTAIN HONORED 3 MEDALS
We saw Mickey Mouse on our trip to Florida,XXXXX TRIP WE SAW WHO MICKEY MOUSE
I like to eat microwave popcorn for a XXXXX,XXXXX ME LIKE EAT WHAT MICROWAVE POPCORN
I made a huge mistake,BIG MISTAKE ME
The moon is bright tonight,TONIGHT MOON BRIGHT
I enjoy visiting Tennessee because of their beautiful mountains,XXXXX ME ENJOY VISIT WHY BEAUTIFUL MOUNTAINS
Please shave your mustache,YOUR MUSTACHE PLEASE SHAVE
My neighbor has 8 children and 4 dogs,8 CHILDREN 4 #DOG MY NEIGHBOR HAS
My friend XXXXX lives in a posh neighborhood,MY FRIEND XXXXX SHE LIVE POSH NEIGHBORHOOD
My dream is to live near the ocean,MY DREAM WHAT LIVE NEAR OCEAN
XXXXX is a deaf swimmer from South Africa He won the silver medal in the Olympics,XXXXX HIMSELF FAMOUS DEAF SWIMMER FROM SOUTH AFRICA OLYMPICS SILVER MEDAL HE WON
I bought my kids new pajamas for Christmas,CHRISTMAS NEW PAJAMAS ME BOUGHT MY KIDS
I buy colorful paper clips,COLORFUL PAPER CLIPS ME BUY
I will go to my parent's house for dinner,MY PARENTS HOUSE DINNER GO WILL ME
Our country needs peace,OUR COUNTRY NEEDS WHAT PEACE
The best time of year to buy peaches is during the summer,BEST TIME YEAR BUY PEACHES WHEN SUMMER
We have several pear trees,PEAR TREES WE HAVE SEVERAL
My daughter's bedroom is pink and white,MY DAUGHTER HER BEDROOM PINK WHITE
I love pizza,PIZZA ME LOVE
Men in the south tend to be very courteous,MEN LIVE SOUTH TEND-TO COURTEOUS
I XXXXX was the first Deaf President of Gallaudet University,ME XXXXX HIMSELF FIRST DEAF PRESIDENT GALLAUDET UNIVERSITY
I have committed myself to training for the Boston XXXXX,BOSTON XXXXX TRAIN ME COMMIT
My XXXXX is 6 months old,MY XXXXX OLD 6-MONTHS
My bedroom is purple,MY BEDROOM COLOR WHAT PURPLE
Will you turn up the radio please,RADIO YOU TURN-UP PLEASE
There was a pretty rainbow after the rain showers,RAIN FINISH PRETTY RAINBOW
My XXXXX rat's name is XXXXX,MY XXXXX RAT NAME WHAT XXXXX
I volunteer with the Red Cross once a month,ONCE MONTH RED CROSS ME VOLUNTEER
Can you write a poem that XXXXX,POEM XXXXX WRITE CAN YOU
My mother's favorite flower is a rose,MY MOTHER HER FAVORITE FLOWER WHAT ROSE
My mom will make me peanut butter and XXXXX sandwiches for lunch,LUNCH PEANUT BUTTER XXXXX SANDWICHES MY MOM MAKE WILL
Santa loves hot chocolate and cookies,SANTA LOVES HOT CHOCOLATE COOKIES
You can't put a price on freedom,FREEDOM HAVE PRICE NONE
I just bought a new plaid shirt,RECENTLY NEW SHIRT PLAID ME BUY
My parents live in a senior citizen community,MY PARENTS LIVE WHERE SENIOR CITIZEN COMMUNITY
Simple XXXXX are the best because you don't have to buy many ingredients,SIMPLE XXXXX BEST WHY MANY INGREDIENTS NOT HAVE-TO BUY
The soldiers went to Washington DC today for a special memorial ceremony,TODAY WASHINGTON DC SOLDIERS GATHER WHAT FOR SPECIAL MEMORIAL CEREMONY
I want soup and salad for lunch,LUNCH SOUP SALAD ME WANT
We are having spaghetti and XXXXX for dinner,DINNER SPAGHETTI MEAT XXXXX WE HAVE
My father's side of the family is hispanic,MY FATHER HIS FAMILY STRONG HISPANIC
Michigan has black squirrels,XXXXX HAS WHAT BLACK SQUIRRELS
Would you like a straw in your drink,YOUR DRINK STRAW YOU WANT
For supper we're going to have spaghetti and XXXXX,SUPPER WHAT SPAGHETTI MEAT XXXXX
At the party there were ten cookies left so I took two,PARTY TEN COOKIES LEFT ME TOOK TWO
Where are you going for Thanksgiving dinner,THANKSGIVING DINNER YOU GO WHERE
I need black thread to sew my dress,MY DRESS SEW BLACK THREAD ME NEED
Would you like a slice of tomato on your sandwich,YOUR SANDWICH TOMATO YOU WANT ADD
The adoption process takes a lot of time,ADOPTION PROCESS TAKES A LOT TIME
It's about time I finished this project,PROJECT FINISH ABOUT TIME
I want to ask you another question,ME HAVE ANOTHER QUESTION FOR YOU
I enjoy going to art XXXXX,ART XXXXX GO-TO ME ENJOY
I enjoy biking in the autumn,AUTUMN BIKING ME ENJOY
I need batteries for my new toy,MY NEW TOY BATTERY ME NEED
I'm excited I bought a new bike,ME EXCITED WHY NEW BIKE ME BOUGHT
Every year my boss gives me one hundred dollars for Christmas,EVERY YEAR CHRISTMAS MY BOSS GIVE ME ONE HUNDRED DOLLARS
I started my own business,BUSINESS MY OWN START ME
My grandma bakes cherry pie for my birthday,FOR MY BIRTHDAY CHERRY PIE MY GRANDMA BAKES
Who wrote the Constitution,CONSTITUTION WHO WROTE
I'm wearing a halloween costume to the party,PARTY ME GO-TO HALLOWEEN COSTUME ME WEAR
I wish I could go to Florida now,XXXXX GO-TO NOW ME WISH ME COULD
XXXXX is one of my favorite customers,ONE OF MY FAVORITE CUSTOMERS WHO XXXXX
XXXXX is a fast runner,FAST RUNNER WHO XXXXX
XXXXX is a fast runner,FAST RUNNER WHO XXXXX
The homemade bread was delicious,HOMEMADE BREAD DELICIOUS
When I was a Girl Scout I learned how to build a fire,LONG TIME AGO ME SMALL ME GIRL SCOUT FIRE LEARN HOW-TO BUILD
My cat's favorite food is XXXXX,XXXXX MY CAT FAVORITE FOOD
